,taxid,phylum
681,1225788,Bacillati
682,1278073,Pseudomonadati
683,1133592,Pseudomonadati
684,1121335,Bacillati
687,435998,Pseudomonadati
688,1233100,Bacillati
689,1121353,Bacillati
690,546,Pseudomonadati
691,77133,uncultured bacterium
692,77133,uncultured bacterium
693,33010,Bacillati
695,1718,Bacillati
697,1200352,Bacillati
698,1343740,Bacillati
699,1138871,Bacillati
700,1224163,Bacillati
701,1367847,Pseudomonadati
702,77133,uncultured bacterium
705,1367477,Bacillati
706,1400053,Pseudomonadati
707,526988,Bacillati
708,1396,Bacillati
709,520459,Pseudomonadati
710,1406860,Pseudomonadati
711,1299044,Pseudomonadati
712,1435356,Bacillati
713,1123269,Pseudomonadati
714,1440052,Pseudomonadati
715,1393659,uncultured bacterium Contigcl_1769
716,1263832,Pseudomonadati
717,861299,Pseudomonadati
718,1449976,Bacillati
719,765869,Pseudomonadati
720,66821,Pseudomonadati
723,358,Pseudomonadati
724,1435057,Pseudomonadati
725,1257021,Pseudomonadati
726,1421,Bacillati
727,61645,Pseudomonadati
744,476282,Pseudomonadati
745,645170,Pseudomonadati
746,1401256,Pseudomonadati
747,1333850,Pseudomonadati
748,661478,Bacillati
749,589873,Pseudomonadati
750,1773,Bacillati
751,1068978,Bacillati
752,156978,Bacillati
753,480,Pseudomonadati
754,244581,Pseudomonadati
755,1528098,Pseudomonadati
756,1333849,Pseudomonadati
757,1541959,Bacillati
758,28901,Pseudomonadati
759,558173,Bacillati
760,1321945,Pseudomonadati
761,65058,Bacillati
762,1405,Bacillati
763,1262452,Bacillati
764,1508404,Bacillati
765,1508404,Bacillati
766,1718,Bacillati
767,480520,Pseudomonadati
768,1405,Bacillati
769,1404,Bacillati
770,386656,Pseudomonadati
771,349751,Bacillati
772,1398,Bacillati
773,1445510,Pseudomonadati
777,77133,uncultured bacterium
780,1564114,Bacillati
781,83456,Pseudomonadati
783,927083,Pseudomonadati
784,1718,Bacillati
785,1334629,Pseudomonadati
786,1334629,Pseudomonadati
787,1334629,Pseudomonadati
788,1465,Bacillati
789,1267766,Pseudomonadati
790,1620421,Pseudomonadati
804,48,Pseudomonadati
805,48,Pseudomonadati
806,136857,Bacillati
807,1072256,Bacillati
808,1650658,Bacillati
809,1650658,Bacillati
810,1239783,Bacillati
811,1348774,Pseudomonadati
812,1618337,Bacteria incertae sedis
813,1618629,Bacteria incertae sedis
814,1623448,Pseudomonadati
815,988812,Pseudomonadati
816,1665174,delta/epsilon subdivisions
817,1665058,Bacillati
818,1665176,delta/epsilon subdivisions
819,1665083,Pseudomonadati
820,1665071,Bacillati
821,1665147,Bacillati
822,1665087,Pseudomonadati
823,1665130,Pseudomonadati
824,1665104,Pseudomonadati
825,1665073,Bacillati
826,1665102,Pseudomonadati
827,1665088,Pseudomonadati
828,1665131,Pseudomonadati
829,1665160,uncultured bacterium Rifle_16ft_4_minimus_4226
830,1665183,delta/epsilon subdivisions
831,1665075,Bacillati
832,1665132,Pseudomonadati
833,1665149,Bacillati
834,1665079,Bacillati
835,1665062,Bacillati
836,1665098,Pseudomonadati
837,1665163,uncultured bacterium Rifle_16ft_4_minimus_752
838,1665063,Bacillati
839,1665127,Pseudomonadati
840,1665155,uncultured bacterium Rifle_16ft_4_minimus_24570
841,1648404,Pseudomonadati
842,1297742,Pseudomonadati
843,1396,Bacillati
844,1579979,Pseudomonadati
847,888727,Bacillati
848,670,Pseudomonadati
849,52773,Bacillati
850,1391654,Pseudomonadati
854,1690248,Bacillati
855,77133,uncultured bacterium
856,65058,Bacillati
857,615,Pseudomonadati
858,1719,Bacillati
859,860235,Bacillati
860,128780,Pseudomonadati
861,41899,Pseudomonadati
862,83456,Pseudomonadati
863,83456,Pseudomonadati
864,1428,Bacillati
865,206662,Bacillati
866,96345,Pseudomonadati
868,1496,Bacillati
869,1718,Bacillati
870,1297617,Bacillati
871,1578165,Bacillati
872,1526571,Pseudomonadati
873,1747,Bacillati
875,1748276,uncultured bacterium 4
876,1136413,uncultured bacterium 8
877,1748267,uncultured bacterium 14
878,1748272,uncultured bacterium 23
879,76759,Pseudomonadati
886,37927,Bacillati
888,570277,Pseudomonadati
889,1771,Bacillati
890,77133,uncultured bacterium
891,446,Pseudomonadati
892,1428,Bacillati
893,1300914,Pseudomonadati
894,135461,Bacillati
895,1748,Bacillati
896,1690485,Pseudomonadati
898,1379270,Pseudomonadati
901,1460372,Bacillati
902,311460,Bacillati
903,1396,Bacillati
904,1575,Bacillati
906,1300347,Bacillati
907,1354275,Bacillati
908,1354275,Bacillati
909,1660251,Pseudomonadati
910,1660251,Pseudomonadati
911,31958,Bacillati
912,463025,Pseudomonadati
913,91750,Pseudomonadati
914,91750,Pseudomonadati
915,1759059,Pseudomonadati
916,1053223,Bacillati
917,1232384,Bacillati
918,37919,Bacillati
919,1428,Bacillati
920,1758689,Bacillati
921,1522,Bacillati
922,1396,Bacillati
925,1765,Bacillati
926,77133,uncultured bacterium
927,77133,uncultured bacterium
928,77133,uncultured bacterium
929,1842535,Pseudomonadati
930,33010,Bacillati
931,765109,Bacillati
932,95486,Pseudomonadati
933,1396,Bacillati
934,386,Pseudomonadati
935,1336795,Pseudomonadati
941,2014,Bacillati
942,1150389,Pseudomonadati
943,502682,Pseudomonadati
944,1408224,Pseudomonadati
945,194963,Pseudomonadati
946,562,Pseudomonadati
947,1920883,Pseudomonadati
949,888845,Pseudomonadati
950,888845,Pseudomonadati
951,888845,Pseudomonadati
952,445709,Pseudomonadati
953,1697,Bacillati
954,1904640,Pseudomonadati
955,1387353,Pseudomonadati
956,1891926,Pseudomonadati
957,1805827,Bacillati
976,244366,Pseudomonadati
977,29382,Bacillati
978,1561,Bacillati
979,1610493,Bacillati
980,1332264,Bacillati
981,399497,Bacillati
982,169679,Bacillati
983,1902579,Pseudomonadati
984,758802,Bacillati
985,1909732,Bacillati
986,1933905,Pseudomonadati
991,1719125,Pseudomonadati
992,308754,Pseudomonadati
995,492670,Bacillati
996,2371,Pseudomonadati
997,511,Pseudomonadati
998,36809,Bacillati
999,1030157,Pseudomonadati
1000,1986952,Pseudomonadati
1001,1986952,Pseudomonadati
1002,77133,uncultured bacterium
1003,77133,uncultured bacterium
1004,2004467,Bacillati
1005,2004468,Bacillati
1006,1940762,Bacillati
1007,1940762,Bacillati
1008,1940762,Bacillati
1009,1718,Bacillati
1010,77133,uncultured bacterium
1011,67267,Bacillati
1012,1428,Bacillati
1015,1192854,Pseudomonadati
1016,260364,Pseudomonadati
1017,34021,Pseudomonadati
1018,2584094,Pseudomonadati
1019,1396,Bacillati
1020,28901,Pseudomonadati
1021,1867846,Pseudomonadati
1022,454594,Pseudomonadati
1023,1798017,Pseudomonadati
1024,2025949,Pseudomonadati
1025,2025949,Pseudomonadati
1027,1380361,Bacillati
1028,1422,Bacillati
1029,1294270,Pseudomonadati
1030,1850238,Pseudomonadati
1031,702114,Pseudomonadati
1032,13690,Pseudomonadati
1033,92644,Bacillati
1034,573,Pseudomonadati
1035,1571470,Pseudomonadati
1036,1571470,Pseudomonadati
1038,13690,Pseudomonadati
1039,2045208,Pseudomonadati
1041,1761012,Bacillati
1044,2038116,Bacillati
1045,1166950,Pseudomonadati
1046,2054282,Bacillati
1047,2054282,Bacillati
1048,2054282,Bacillati
1049,1911684,Bacillati
1050,1911683,Bacillati
1052,1089444,Pseudomonadati
1053,2059672,Pseudomonadati
1054,1911175,Bacillati
1056,77133,uncultured bacterium
1057,1404,Bacillati
1059,1773,Bacillati
1061,56,Pseudomonadati
1062,69392,Pseudomonadati
1063,35703,Pseudomonadati
1067,2081964,Bacillati
1068,2081964,Bacillati
1070,712991,Bacillati
1071,287,Pseudomonadati
1072,2605946,Pseudomonadati
1073,1868589,Pseudomonadati
1074,1396,Bacillati
1075,470934,Pseudomonadati
1076,2079793,Bacillati
1077,580165,Bacillati
1078,2495645,Bacillati
1079,2371,Pseudomonadati
1080,36809,Bacillati
1081,36809,Bacillati
1082,2072406,Pseudomonadati
1083,2072408,Pseudomonadati
1084,2072414,Pseudomonadati
1085,1520,Bacillati
1086,1520,Bacillati
1087,1520,Bacillati
1103,1214915,Bacillati
1104,207340,Pseudomonadati
1105,1548548,delta/epsilon subdivisions
1106,2026785,Pseudomonadati
1107,2026785,Pseudomonadati
1108,2203213,Pseudomonadati
1109,2030809,Pseudomonadati
1110,1151001,Pseudomonadati
1111,1243607,Pseudomonadati
1112,28901,Pseudomonadati
1114,980427,Thermotogati
1117,1871037,Pseudomonadati
1118,394935,Pseudomonadati
1119,562,Pseudomonadati
1120,1016987,Pseudomonadati
1123,1396,Bacillati
1124,1830,Bacillati
1125,352858,Bacillati
1126,352858,Bacillati
1127,352858,Bacillati
1128,1825976,Pseudomonadati
1129,181582,Bacillati
1130,181582,Bacillati
1132,358,Pseudomonadati
1133,1774,Bacillati
1134,1176649,Pseudomonadati
1135,358,Pseudomonadati
1136,2070537,Pseudomonadati
1139,549,Pseudomonadati
1140,28095,Pseudomonadati
1141,1280,Bacillati
1149,556499,Bacillati
1150,859,Fusobacteriati
1151,2080757,Bacillati
1152,421525,Pseudomonadati
1153,1063,Pseudomonadati
1154,1063,Pseudomonadati
1155,549,Pseudomonadati
1156,64187,Pseudomonadati
1157,1282737,Bacillati
1158,1867714,Pseudomonadati
1159,2496867,Bacillati
1160,480,Pseudomonadati
1161,149388,Pseudomonadati
1162,1434191,Pseudomonadati
1163,644,Pseudomonadati
1164,1916293,Pseudomonadati
1168,266835,Pseudomonadati
1169,196627,Bacillati
1170,197221,Bacillati
1172,196164,Bacillati
1176,269084,Bacillati
1182,636,Pseudomonadati
1184,77133,uncultured bacterium
1185,1408204,Pseudomonadati
1188,645657,Bacillati
1189,926570,Pseudomonadati
1191,627192,Pseudomonadati
1192,693746,Bacillati
1193,693746,Bacillati
1195,156405,Pseudomonadati
1196,86473,Pseudomonadati
1197,926550,Bacillati
1198,1204343,Bacillati
1200,891974,Pseudomonadati
1201,891974,Pseudomonadati
1202,615,Pseudomonadati
1203,40754,Pseudomonadati
1204,1469502,Pseudomonadati
1205,270351,Pseudomonadati
1206,1615909,Bacillati
1207,1617448,Bacillati
1208,35806,Pseudomonadati
1209,1588021,Bacillati
1210,1588021,Bacillati
1211,1588023,Bacillati
1212,1303921,Pseudomonadati
1217,1752064,Bacillati
1218,1752064,Bacillati
1219,1752064,Bacillati
1220,1752064,Bacillati
1221,1052,Pseudomonadati
1222,1807358,Bacillati
1223,1807358,Bacillati
1224,223967,Pseudomonadati
1225,2506452,Bacillati
1226,381,Pseudomonadati
1227,172042,Bacillati
1228,172042,Bacillati
1229,37332,Bacillati
1231,210,Pseudomonadati
1232,52767,Bacillati
1233,1827144,Bacillati
1234,1827144,Bacillati
1235,1973475,Bacillati
1236,1973475,Bacillati
1237,1973488,Bacillati
1238,1973488,Bacillati
1239,1973488,Bacillati
1240,2005457,Bacillati
1241,2005457,Bacillati
1242,2005457,Bacillati
1243,2005461,Bacillati
1244,2005460,Bacillati
1245,2005460,Bacillati
1246,2005458,Bacillati
1249,988779,Pseudomonadati
1250,2058625,Pseudomonadati
1251,241368,Pseudomonadati
1252,1978337,Pseudomonadati
1253,135719,Pseudomonadati
1254,1553431,Pseudomonadati
1255,1571833,Bacillati
1256,77133,uncultured bacterium
1257,2093742,Bacillati
1258,2093742,Bacillati
1262,2490863,Bacillati
1263,2045280,Bacillati
1264,2558175,Pseudomonadati
1265,217070,Pseudomonadati
1266,2585119,Pseudomonadati
1267,1444684,Pseudomonadati
1268,702114,Pseudomonadati
1270,1760988,Pseudomonadati
1271,86192,Pseudomonadati
1272,86192,Pseudomonadati
1273,269673,Bacillati
1274,2651972,Pseudomonadati
1275,571177,Pseudomonadati
1276,947919,Pseudomonadati
1277,1751046,Pseudomonadati
1278,562,Pseudomonadati
1279,39691,Bacillati
1280,39688,Bacillati
1281,67081,Bacillati
1282,216929,Bacillati
1283,758802,Bacillati
1284,1249101,Bacillati
1285,39692,Bacillati
1286,36813,Bacillati
1287,39689,Bacillati
1288,1792,Bacillati
1289,1794,Bacillati
1290,28047,Bacillati
1291,85693,Bacillati
1292,444597,Bacillati
1293,51288,Pseudomonadati
1294,1751046,Pseudomonadati
1295,1566351,Pseudomonadati
1296,2724896,Pseudomonadati
1297,2724896,Pseudomonadati
1298,2741301,Bacillati
1299,2020875,Pseudomonadati
1300,2744518,Pseudomonadati
1301,758802,Bacillati
1302,1768,Bacillati
1303,480035,Bacillati
1304,2764705,Pseudomonadati
1305,2717365,Bacillati
1306,2717365,Bacillati
1307,2783868,Pseudomonadati
1308,55212,Pseudomonadati
1309,32009,Pseudomonadati
1310,2799183,Pseudomonadati
1311,1547448,Bacillati
1312,77133,uncultured bacterium
1313,77133,uncultured bacterium
1314,77133,uncultured bacterium
1315,77133,uncultured bacterium
1316,77133,uncultured bacterium
1317,77133,uncultured bacterium
1318,77133,uncultured bacterium
1319,77133,uncultured bacterium
1320,77133,uncultured bacterium
1321,77133,uncultured bacterium
1322,77133,uncultured bacterium
1323,77133,uncultured bacterium
1324,77133,uncultured bacterium
1325,77133,uncultured bacterium
1326,77133,uncultured bacterium
1327,77133,uncultured bacterium
1328,77133,uncultured bacterium
1329,77133,uncultured bacterium
1330,77133,uncultured bacterium
1331,77133,uncultured bacterium
1332,553982,Pseudomonadati
1333,2829083,Pseudomonadati
1334,2829083,Pseudomonadati
1335,2510637,Pseudomonadati
1336,2033014,Bacillati
1337,1898104,Pseudomonadati
1338,2830982,Bacillati
1342,448371,Bacillati
1343,2853227,Bacillati
1344,448371,Bacillati
1345,1917830,Pseudomonadati
1346,2826993,Pseudomonadati
1347,2558174,Pseudomonadati
1349,2802972,Pseudomonadati
1352,47312,Bacillati
1353,292800,Bacillati
1354,1776384,Bacillati
1355,2872177,Pseudomonadati
1356,2054177,Bacillati
1357,2485925,Bacillati
1358,2485925,Bacillati
1359,871541,Bacillati
1360,2759045,Bacillati
1361,2759045,Bacillati
1362,2929796,Bacillati
1363,2929796,Bacillati
1364,2905871,Bacillati
1365,604088,Pseudomonadati
1366,2973072,Pseudomonadati
1367,33011,Bacillati
1375,2984118,Pseudomonadati
1376,2982796,Pseudomonadati
1377,2993872,Pseudomonadati
1378,2993873,Pseudomonadati
1379,2984338,Bacillati
1380,135487,Bacillati
1382,3132031,Bacillati
1383,295596,Bacillati
1384,483215,Pseudomonadati
1385,3026384,Pseudomonadati
1386,3028879,Pseudomonadati
1387,3028880,Pseudomonadati
1388,3028886,Pseudomonadati
1389,3028888,Pseudomonadati
1390,3028890,Pseudomonadati
1391,3028891,Pseudomonadati
1392,3028892,Pseudomonadati
1393,53462,Bacillati
1394,562,Pseudomonadati
1395,562,Pseudomonadati
1396,1535208,Bacillati
1397,562,Pseudomonadati
1398,3033792,Bacillati
1399,3033793,Bacillati
1400,2136147,Pseudomonadati
1401,3041175,Bacillati
1404,67352,Bacillati
1405,67352,Bacillati
1406,615,Pseudomonadati
1407,615,Pseudomonadati
1408,615,Pseudomonadati
1409,615,Pseudomonadati
1410,615,Pseudomonadati
1411,615,Pseudomonadati
1412,615,Pseudomonadati
1413,615,Pseudomonadati
1414,3061014,Bacillati
1415,3061014,Bacillati
1416,3065953,Pseudomonadati
1420,3085177,Pseudomonadati
1422,574560,Pseudomonadati
1423,3113639,Pseudomonadati
1424,3112768,Bacillati
1425,3113894,Pseudomonadati
1426,3113895,Pseudomonadati
1427,1994,Bacillati
1428,47849,Bacillati
1429,28887,Bacillati
1430,69366,Bacillati
1431,3116917,Pseudomonadati
1432,3119018,Pseudomonadati
1441,3119826,Pseudomonadati
1442,1751071,Pseudomonadati
1443,2030808,Pseudomonadati
1447,633,Pseudomonadati
1448,1883446,Pseudomonadati
1449,1404,Bacillati
1450,3136601,Bacillati
1451,1870993,Bacillati
1452,292800,Bacillati
1453,2779352,Bacillati
1454,3014267,Bacillati
1455,267,Pseudomonadati
1456,1008307,Pseudomonadati
1457,3074435,Bacillati
1458,3231511,Pseudomonadati
1459,3236793,Pseudomonadati
1460,3236794,Pseudomonadati
1461,3236795,Pseudomonadati
1462,3236796,Pseudomonadati
1463,3236797,Pseudomonadati
1464,82996,Pseudomonadati
1465,2670377,Pseudomonadati
1466,3231513,Bacillati
1467,3231513,Bacillati
1468,3231512,Bacillati
1469,3238748,Pseudomonadati
1470,2009266,Pseudomonadati
1471,3242372,Bacillati
1472,3241172,Bacillati
1473,285568,Bacillati
1474,3342538,Bacillati
1475,3342538,Bacillati
1476,2831996,Bacillati
1478,3373541,Bacillati
1479,3381778,Pseudomonadati
1480,1470434,Pseudomonadati
1481,2666134,Pseudomonadati
1482,2029982,Pseudomonadati
1483,2029982,Pseudomonadati
1484,107401,Pseudomonadati
1486,107401,Pseudomonadati
1496,570505,Pseudomonadati
1497,570505,Pseudomonadati
1498,570505,Pseudomonadati
1524,1280,Bacillati
1526,1502,Bacillati
1527,2682548,Pseudomonadati
1528,269237,Pseudomonadati
1529,298394,Pseudomonadati
1530,269237,Pseudomonadati
1531,269237,Pseudomonadati
1532,269237,Pseudomonadati
1533,1331704,Pseudomonadati
1554,1867952,Pseudomonadati
1555,217144,Bacillati
1556,581187,Bacillati
1557,1267456,Bacillati
1558,310071,Bacillati
1559,1267456,Bacillati
1560,114050,Bacillati
1561,1135996,Bacillati
1562,310071,Bacillati
1563,581187,Bacillati
1564,259945,Bacillati
1565,437475,Bacillati
1566,412392,Pseudomonadati
1567,259945,Bacillati
1568,158755,Pseudomonadati
1569,253824,Bacillati
1570,198441,Bacillati
1571,257457,Bacillati
1572,198441,Bacillati
1573,349277,Bacillati
1574,349277,Bacillati
1575,1162706,Bacillati
1576,768556,Bacillati
1577,1162706,Bacillati
1578,1645740,Pseudomonadati
1579,1645740,Pseudomonadati
1580,1936017,Bacillati
1586,1717,Bacillati
1587,1717,Bacillati
1588,1717,Bacillati
1589,1717,Bacillati
1590,1717,Bacillati
1591,334747,delta/epsilon subdivisions
1597,2485925,Bacillati
1656,1389922,Pseudomonadati
1673,615,Pseudomonadati
1677,1052209,Pseudomonadati
1678,86473,Pseudomonadati
1697,1280,Bacillati
1698,1280,Bacillati
1699,77133,uncultured bacterium
1701,86473,Pseudomonadati
1702,86473,Pseudomonadati
1703,86473,Pseudomonadati
1704,86473,Pseudomonadati
1705,86473,Pseudomonadati
1706,86473,Pseudomonadati
1707,86473,Pseudomonadati
1708,86473,Pseudomonadati
1709,86473,Pseudomonadati
1712,1761784,Pseudomonadati
1713,554283,Pseudomonadati
1714,2654844,Pseudomonadati
1753,1160,Bacillati
1835,696485,Pseudomonadati
1846,203907,Pseudomonadati
1860,573,Pseudomonadati
1882,52442,Pseudomonadati
1883,52442,Pseudomonadati
1886,52442,Pseudomonadati
1889,2182327,Pseudomonadati
1954,615,Pseudomonadati
1993,2497639,Bacillati
1994,2052162,Pseudomonadati
1996,2052143,Bacillati
1997,2030816,Pseudomonadati
1999,1913989,Pseudomonadati
2000,2052143,Bacillati
2001,2052143,Bacillati
2002,1891238,Pseudomonadati
2003,1891238,Pseudomonadati
2005,2073117,Bacillati
2006,2030806,Pseudomonadati
2007,2052139,Bacteria incertae sedis
2008,77133,uncultured bacterium
2009,77133,uncultured bacterium
2072,2812850,Bacillati
2078,2820673,Bacillati
2148,3043617,Pseudomonadati
