,taxid,phylum
35984,2485925,Bacillati
35985,2039241,Bacillati
35986,2044939,Bacillati
35987,1872444,Pseudomonadati
35988,2485925,Bacillati
35989,2030927,Pseudomonadati
35990,2053632,Bacillati
35991,2044939,Bacillati
35992,2212467,Pseudomonadati
35993,2044939,Bacillati
35994,2047426,Bacillati
35995,2044939,Bacillati
35996,2485925,Bacillati
35997,1898203,Bacillati
35998,2044939,Bacillati
35999,2044939,Bacillati
36000,2212467,Pseudomonadati
36001,2773926,Pseudomonadati
36002,2044939,Bacillati
36003,2014367,Bacillati
36004,1981029,Pseudomonadati
36005,885,Pseudomonadati
36006,1898203,Bacillati
36007,2030927,Pseudomonadati
36008,41978,Bacillati
36009,59823,Pseudomonadati
36010,41978,Bacillati
36011,2030927,Pseudomonadati
36012,1903720,Bacillati
36013,2049031,Bacillati
36014,2212467,Pseudomonadati
36015,59823,Pseudomonadati
36016,59823,Pseudomonadati
36017,2053611,Bacillati
36018,2212467,Pseudomonadati
36019,41978,Bacillati
36020,2030927,Pseudomonadati
36021,41978,Bacillati
36022,2044939,Bacillati
36023,2044939,Bacillati
36024,1898207,Bacillati
36025,1879010,Bacillati
36026,28121,Bacillati
36027,2212467,Pseudomonadati
36028,28121,Bacillati
36029,59823,Pseudomonadati
36030,59823,Pseudomonadati
36031,2212467,Pseudomonadati
36032,59823,Pseudomonadati
36033,59823,Pseudomonadati
36034,59823,Pseudomonadati
36035,59823,Pseudomonadati
36036,59823,Pseudomonadati
36037,2049044,Bacillati
36038,2049044,Bacillati
36039,2053608,Bacillati
36040,306,Pseudomonadati
36041,1972561,Bacillati
36042,2060878,Bacillati
36043,1971758,Bacillati
36044,1971758,Bacillati
36045,1898203,Bacillati
36046,1898203,Bacillati
36047,1898203,Bacillati
36048,1898203,Bacillati
36049,1926876,Bacillati
36050,1926876,Bacillati
36051,2060878,Bacillati
36052,2485926,Bacillati
36053,2049035,Bacillati
36054,1904861,Bacillati
36055,2049042,Bacillati
36056,2049042,Bacillati
36057,1898203,Bacillati
36058,1898203,Bacillati
36059,2053608,Bacillati
36060,1869227,unclassified Bacteria
36061,1904861,Bacillati
36062,2044939,Bacillati
36063,2054177,Bacillati
36064,415229,Pseudomonadati
36066,2783868,Pseudomonadati
36067,1898203,Bacillati
36068,2026792,Pseudomonadati
36069,2026792,Pseudomonadati
36070,1898203,Bacillati
36071,2485925,Bacillati
36072,2485925,Bacillati
36073,1898207,Bacillati
36074,2026771,Pseudomonadati
36075,2044939,Bacillati
36076,2212467,Pseudomonadati
36077,2044939,Bacillati
36078,2212467,Pseudomonadati
36079,2212473,Pseudomonadati
36080,2030927,Pseudomonadati
36081,2044939,Bacillati
36082,2044939,Bacillati
36083,2030927,Pseudomonadati
36084,2044939,Bacillati
36085,2748031,Pseudomonadati
36086,2044939,Bacillati
36087,2044939,Bacillati
36088,1898203,Bacillati
36089,2049044,Bacillati
36090,1898203,Bacillati
36091,2478488,Pseudomonadati
36092,2044939,Bacillati
36093,1898203,Bacillati
36094,1898203,Bacillati
36095,1903720,Bacillati
36096,2044939,Bacillati
36097,1898203,Bacillati
36098,2044939,Bacillati
36099,1972561,Bacillati
36100,2498093,Pseudomonadati
36101,2212473,Pseudomonadati
36102,2030927,Pseudomonadati
36103,2030927,Pseudomonadati
36104,2030927,Pseudomonadati
36105,1913988,Pseudomonadati
36106,1898203,Bacillati
36107,1898203,Bacillati
36108,59823,Pseudomonadati
36109,2044939,Bacillati
36110,2030927,Pseudomonadati
36111,2212467,Pseudomonadati
36112,41978,Bacillati
36113,1898203,Bacillati
36114,59823,Pseudomonadati
36115,2212467,Pseudomonadati
36116,2030927,Pseudomonadati
36117,2030927,Pseudomonadati
36118,2030927,Pseudomonadati
36119,2030927,Pseudomonadati
36120,2735568,Pseudomonadati
36121,2044939,Bacillati
36122,1903720,Bacillati
36123,2030927,Pseudomonadati
36124,1898207,Bacillati
36125,2748031,Pseudomonadati
36126,1898207,Bacillati
36127,2044939,Bacillati
36128,2735568,Pseudomonadati
36129,2053494,Bacillati
36130,2026792,Pseudomonadati
36131,1898203,Bacillati
36132,2748031,Pseudomonadati
36133,2748031,Pseudomonadati
36134,2748031,Pseudomonadati
36135,2044939,Bacillati
36136,2044939,Bacillati
36137,2044939,Bacillati
36138,2044939,Bacillati
36139,2053586,Bacteria incertae sedis
36140,2053586,Bacteria incertae sedis
36141,2030927,Pseudomonadati
36143,2748031,Pseudomonadati
36144,2748031,Pseudomonadati
36145,2212467,Pseudomonadati
36146,2212467,Pseudomonadati
36147,2748031,Pseudomonadati
36148,2748031,Pseudomonadati
36149,1898203,Bacillati
36150,1898207,Bacillati
36151,1898203,Bacillati
36152,2030927,Pseudomonadati
36153,2030927,Pseudomonadati
36154,2212473,Pseudomonadati
36155,2030927,Pseudomonadati
36156,166,Pseudomonadati
36157,2748031,Pseudomonadati
36158,1913988,Pseudomonadati
36159,2212473,Pseudomonadati
36160,2030927,Pseudomonadati
36161,1898104,Pseudomonadati
36162,2026792,Pseudomonadati
36163,1898203,Bacillati
36164,59823,Pseudomonadati
36165,2030927,Pseudomonadati
36166,41978,Bacillati
36167,2030927,Pseudomonadati
36168,2044939,Bacillati
36169,2014367,Bacillati
36170,1898203,Bacillati
36171,1898203,Bacillati
36172,166,Pseudomonadati
36173,2044939,Bacillati
36174,2735568,Pseudomonadati
36175,2044939,Bacillati
36176,2691551,Pseudomonadati
36177,1898203,Bacillati
36178,1869227,unclassified Bacteria
36179,2212467,Pseudomonadati
36180,2044939,Bacillati
36181,2030927,Pseudomonadati
36182,2212475,Pseudomonadati
36183,2044939,Bacillati
36184,1898207,Bacillati
36185,2053305,Pseudomonadati
36186,2498093,Pseudomonadati
36187,1913988,Pseudomonadati
36188,2026792,Pseudomonadati
36189,2030927,Pseudomonadati
36190,2783868,Pseudomonadati
36191,2030927,Pseudomonadati
36192,2030927,Pseudomonadati
36193,2030927,Pseudomonadati
36194,2030927,Pseudomonadati
36195,2030927,Pseudomonadati
36196,2044939,Bacillati
36197,1898203,Bacillati
36198,2053615,Pseudomonadati
36199,2485925,Bacillati
36200,1879010,Bacillati
36201,166,Pseudomonadati
36202,2044939,Bacillati
36203,2212467,Pseudomonadati
36204,2212467,Pseudomonadati
36205,142586,Bacillati
36206,142586,Bacillati
36207,1898207,Bacillati
36208,59823,Pseudomonadati
36209,2044939,Bacillati
36211,2014784,Pseudomonadati
36212,2030927,Pseudomonadati
36213,59823,Pseudomonadati
36214,59823,Pseudomonadati
36215,2609661,Bacillati
36216,2748322,Bacillati
36217,2748322,Bacillati
36218,2748322,Bacillati
36219,1917219,Pseudomonadati
36220,1872668,Pseudomonadati
36221,2026728,Pseudomonadati
36222,1917865,Pseudomonadati
36223,2283092,Pseudomonadati
36224,50421,Pseudomonadati
36225,1913988,Pseudomonadati
36226,2030806,Pseudomonadati
36227,1940288,Pseudomonadati
36228,1912891,Pseudomonadati
36229,239,Pseudomonadati
36230,239,Pseudomonadati
36231,2448779,Pseudomonadati
36232,1977087,Pseudomonadati
36233,42353,Pseudomonadati
36234,2053555,Fusobacteriati
36235,2024896,Bacillati
36236,239,Pseudomonadati
36237,2044595,Bacteria incertae sedis
36238,2026728,Pseudomonadati
36239,2569862,Pseudomonadati
36240,2044939,Bacillati
36241,1262784,Bacillati
36242,1913989,Pseudomonadati
36243,472,Pseudomonadati
36244,2014784,Pseudomonadati
36245,2782225,Fusobacteriati
36246,2719034,Bacillati
36247,1898204,Bacillati
36248,2073117,Bacillati
36249,2202734,Pseudomonadati
36250,1969481,Bacillati
36251,472,Pseudomonadati
36252,2687297,Pseudomonadati
36253,1909292,Pseudomonadati
36254,2748031,Pseudomonadati
36255,50259,Pseudomonadati
36256,70125,Pseudomonadati
36257,1917219,Pseudomonadati
36258,472,Pseudomonadati
36259,1872635,Pseudomonadati
36260,2044936,Pseudomonadati
36261,2818473,Pseudomonadati
36262,2021391,Pseudomonadati
36263,2044936,Pseudomonadati
36264,2014784,Pseudomonadati
36265,42353,Pseudomonadati
36266,42353,Pseudomonadati
36267,1917865,Pseudomonadati
36268,1874826,Pseudomonadati
36269,2030927,Pseudomonadati
36270,42353,Pseudomonadati
36271,42353,Pseudomonadati
36272,42353,Pseudomonadati
36273,2030927,Pseudomonadati
36274,239,Pseudomonadati
36275,1891229,Pseudomonadati
36276,1960882,Pseudomonadati
36277,2021391,Pseudomonadati
36278,2053555,Fusobacteriati
36279,1940288,Pseudomonadati
36280,1902408,Pseudomonadati
36281,2748031,Pseudomonadati
36282,2448054,Pseudomonadati
36283,1913989,Pseudomonadati
36284,2728912,Bacillati
36285,1872635,Pseudomonadati
36286,239,Pseudomonadati
36287,60,Pseudomonadati
36288,239,Pseudomonadati
36289,1871047,Pseudomonadati
36290,2049432,Pseudomonadati
36291,239,Pseudomonadati
36292,2026735,Pseudomonadati
36293,1898105,Pseudomonadati
36294,2212474,Pseudomonadati
36295,267,Pseudomonadati
36296,2024834,Pseudomonadati
36297,1898440,Bacillati
36298,1915409,Pseudomonadati
36299,2026748,Pseudomonadati
36300,2026748,Pseudomonadati
36301,2024834,Pseudomonadati
36302,2793154,Pseudomonadati
36303,2212460,Pseudomonadati
36304,2024894,Bacillati
36305,2049432,Pseudomonadati
36306,2026757,Pseudomonadati
36307,1977087,Pseudomonadati
36308,1926873,Pseudomonadati
36309,2044936,Pseudomonadati
36310,50259,Pseudomonadati
36311,1929291,Pseudomonadati
36312,1929291,Pseudomonadati
36313,1903157,Pseudomonadati
36314,2049432,Pseudomonadati
36315,2049432,Pseudomonadati
36316,2030806,Pseudomonadati
36317,1917215,Pseudomonadati
36318,1978231,Pseudomonadati
36319,2026735,Pseudomonadati
36320,2026735,Pseudomonadati
36321,2053589,Bacteria incertae sedis
36322,2014784,Pseudomonadati
36323,2026804,Bacteria incertae sedis
36324,2030927,Pseudomonadati
36325,1898204,Bacillati
36326,1871053,Pseudomonadati
36327,2053589,Bacteria incertae sedis
36328,2485925,Bacillati
36329,2053613,Bacteria incertae sedis
36330,1903720,Bacillati
36331,2026753,Pseudomonadati
36332,2035772,Pseudomonadati
36333,1852802,Pseudomonadati
36334,2026735,Pseudomonadati
36335,2035772,Pseudomonadati
36336,1913988,Pseudomonadati
36337,166,Pseudomonadati
36338,2053689,Thermotogati
36339,2033014,Bacillati
36340,1852816,Pseudomonadati
36341,1811699,Pseudomonadati
36342,2026756,Pseudomonadati
36343,2044595,Bacteria incertae sedis
36344,1852923,Thermotogati
36345,1913988,Pseudomonadati
36346,1902410,Bacillati
36347,1872444,Pseudomonadati
36348,1852803,Pseudomonadati
36349,1852863,delta/epsilon subdivisions
36350,2026780,Pseudomonadati
36351,2030927,Pseudomonadati
36352,1262796,Bacillati
36353,2060921,Fusobacteriati
36354,2030927,Pseudomonadati
36355,2202144,Pseudomonadati
36356,2024896,Bacillati
36357,2035772,Pseudomonadati
36358,1898203,Bacillati
36359,1917215,Pseudomonadati
36361,2044939,Bacillati
36362,2030927,Pseudomonadati
36363,1898103,Pseudomonadati
36364,1977087,Pseudomonadati
36365,2024896,Bacillati
36366,1937017,Pseudomonadati
36367,1879010,Bacillati
36369,1506,Bacillati
36370,2052184,Pseudomonadati
36371,2758719,Pseudomonadati
36372,2030927,Pseudomonadati
36373,2485925,Bacillati
36374,1879010,Bacillati
36375,2044936,Pseudomonadati
36376,1913682,Pseudomonadati
36377,2304696,Bacillati
36378,1889775,Pseudomonadati
36379,1852819,Pseudomonadati
36380,41978,Bacillati
36381,2020873,Pseudomonadati
36382,2023360,Pseudomonadati
36383,2024896,Bacillati
36384,2030808,Pseudomonadati
36385,2748031,Pseudomonadati
36386,1869227,unclassified Bacteria
36387,2447898,Pseudomonadati
36388,1960295,Bacillati
36389,1872519,Bacillati
36390,2052184,Pseudomonadati
36391,2044936,Pseudomonadati
36392,2499140,Bacillati
36393,416586,Bacillati
36394,2499140,Bacillati
36395,2212473,Pseudomonadati
36396,2026757,Pseudomonadati
36397,2026757,Pseudomonadati
36398,2545255,Pseudomonadati
36399,2049031,Bacillati
36401,1872421,Pseudomonadati
36402,1872421,Pseudomonadati
36403,239,Pseudomonadati
36404,2026735,Pseudomonadati
36405,1852891,Bacillati
36406,2026735,Pseudomonadati
36407,2044939,Bacillati
36408,2024896,Bacillati
36409,1871049,Pseudomonadati
36410,2283092,Pseudomonadati
36411,239,Pseudomonadati
36412,2044939,Bacillati
36413,2021391,Pseudomonadati
36416,2030927,Pseudomonadati
36417,2021391,Pseudomonadati
36418,1898956,Pseudomonadati
36419,2030927,Pseudomonadati
36420,2283092,Pseudomonadati
36421,2026792,Pseudomonadati
36422,2053594,Pseudomonadati
36423,2044936,Pseudomonadati
36424,2021391,Pseudomonadati
36425,2660714,Pseudomonadati
36426,2030806,Pseudomonadati
36427,1978231,Pseudomonadati
36428,1904252,Pseudomonadati
36429,2202144,Pseudomonadati
36430,2497639,Bacillati
36431,2689616,Pseudomonadati
36432,1898105,Pseudomonadati
36433,1962974,Pseudomonadati
36434,2448054,Pseudomonadati
36435,2201156,Bacillati
36436,2201156,Bacillati
36437,2030827,Bacteria incertae sedis
36438,50422,Pseudomonadati
36439,2030806,Pseudomonadati
36440,2651171,Pseudomonadati
36441,2073117,Bacillati
36442,2053527,Pseudomonadati
36443,1871053,Pseudomonadati
36444,78,Pseudomonadati
36445,78,Pseudomonadati
36446,1852797,Pseudomonadati
36447,2026788,Pseudomonadati
36448,1913989,Pseudomonadati
36449,1913988,Pseudomonadati
36450,2044936,Pseudomonadati
36451,2030927,Pseudomonadati
36452,2202144,Pseudomonadati
36453,2026778,Pseudomonadati
36454,1978231,Pseudomonadati
36455,2026735,Pseudomonadati
36456,1978231,Pseudomonadati
36457,2748031,Pseudomonadati
36458,2024896,Bacillati
36459,2725315,Bacteria incertae sedis
36460,2819258,Bacteria incertae sedis
36461,2044936,Pseudomonadati
36462,1969481,Bacillati
36463,2026799,Pseudomonadati
36464,1969481,Bacillati
36465,1852801,Pseudomonadati
36466,1977087,Pseudomonadati
36467,2026756,Pseudomonadati
36468,472,Pseudomonadati
36469,2518607,Pseudomonadati
36470,2026760,Pseudomonadati
36471,2497619,Bacillati
36472,2026735,Pseudomonadati
36473,472,Pseudomonadati
36474,60,Pseudomonadati
36475,1872635,Pseudomonadati
36476,1898103,Pseudomonadati
36477,2080302,Bacillati
36478,2026778,Pseudomonadati
36479,1852924,Pseudomonadati
36480,2026801,Pseudomonadati
36481,1869337,Pseudomonadati
36482,2614250,Bacillati
36483,2518612,Bacillati
36484,2782235,Pseudomonadati
36485,1872635,Pseudomonadati
36486,2049432,Pseudomonadati
36487,2212467,Pseudomonadati
36488,2026724,Bacillati
36489,2044595,Bacteria incertae sedis
36490,1872415,Pseudomonadati
36491,2044936,Pseudomonadati
36492,2499140,Bacillati
36493,1948889,Pseudomonadati
36494,2030806,Pseudomonadati
36495,1913682,Pseudomonadati
36496,2202144,Pseudomonadati
36497,2202144,Pseudomonadati
36498,1891238,Pseudomonadati
36499,1948889,Pseudomonadati
36500,1896336,Pseudomonadati
36501,306,Pseudomonadati
36502,2049432,Pseudomonadati
36503,306,Pseudomonadati
36504,2497619,Bacillati
36505,1948889,Pseudomonadati
36506,1869214,Pseudomonadati
36507,2497639,Bacillati
36508,2030806,Pseudomonadati
36509,2053613,Bacteria incertae sedis
36510,41978,Bacillati
36511,2053611,Bacillati
36512,2819258,Bacteria incertae sedis
36513,1879010,Bacillati
36514,2660714,Pseudomonadati
36515,2053624,Thermotogati
36516,2719315,Bacillati
36517,1869227,unclassified Bacteria
36518,2485925,Bacillati
36519,59823,Pseudomonadati
36520,2052185,Pseudomonadati
36521,1977087,Pseudomonadati
36522,2819256,Bacillati
36524,2013842,Thermotogati
36525,1903720,Bacillati
36526,1869227,unclassified Bacteria
36527,1960295,Bacillati
36528,2282155,Pseudomonadati
36529,2053534,Pseudomonadati
36530,2758719,Pseudomonadati
36531,2030927,Pseudomonadati
36532,1898203,Bacillati
36533,1898203,Bacillati
36534,2053509,Pseudomonadati
36535,1262999,Bacillati
36536,1898105,Pseudomonadati
36537,2818421,Pseudomonadati
36538,2818421,Pseudomonadati
36539,1925666,Pseudomonadati
36540,2818474,Pseudomonadati
36541,2093811,Bacillati
36542,2093811,Bacillati
36543,1936292,Pseudomonadati
36544,2026779,Pseudomonadati
36545,2818421,Pseudomonadati
36546,2024896,Bacillati
36547,2052143,Bacillati
36548,2052143,Bacillati
36549,2212460,Pseudomonadati
36550,239,Pseudomonadati
36551,2026778,Pseudomonadati
36552,2737536,Bacillati
36553,1891229,Pseudomonadati
36554,267,Pseudomonadati
36555,361,Pseudomonadati
36556,2748031,Pseudomonadati
36557,2030927,Pseudomonadati
36558,2748031,Pseudomonadati
36559,1898203,Bacillati
36560,2052143,Bacillati
36561,2052143,Bacillati
36562,2044939,Bacillati
36563,1898104,Pseudomonadati
36564,2024896,Bacillati
36565,2030809,Pseudomonadati
36566,2026760,Pseudomonadati
36568,2053614,Pseudomonadati
36569,2030927,Pseudomonadati
36570,2202144,Pseudomonadati
36571,2026778,Pseudomonadati
36572,2030808,Pseudomonadati
36573,2024896,Bacillati
36574,1852906,Pseudomonadati
36575,2202144,Pseudomonadati
36576,2005166,Pseudomonadati
36577,1872578,Pseudomonadati
36578,2044936,Pseudomonadati
36579,2053306,Pseudomonadati
36580,2283092,Pseudomonadati
36581,2080302,Bacillati
36582,2448779,Pseudomonadati
36583,2651171,Pseudomonadati
36584,2021391,Pseudomonadati
36585,2818471,Pseudomonadati
36586,2044936,Pseudomonadati
36587,2053306,Pseudomonadati
36588,2024894,Bacillati
36589,1898104,Pseudomonadati
36590,1869212,Pseudomonadati
36591,1872415,Pseudomonadati
36592,2026748,Pseudomonadati
36593,2499140,Bacillati
36594,29523,Pseudomonadati
36595,1852796,Pseudomonadati
36596,2651163,Pseudomonadati
36597,2689616,Pseudomonadati
36598,2026781,Bacteria incertae sedis
36599,2283092,Pseudomonadati
36600,2024896,Bacillati
36601,2608087,Pseudomonadati
36602,2687297,Pseudomonadati
36603,2044595,Bacteria incertae sedis
36604,1913989,Pseudomonadati
36605,1913989,Pseudomonadati
36606,1869212,Pseudomonadati
36607,1891238,Pseudomonadati
36608,1891238,Pseudomonadati
36609,2044595,Bacteria incertae sedis
36610,2053589,Bacteria incertae sedis
36611,472,Pseudomonadati
36612,2053492,Pseudomonadati
36613,2053492,Pseudomonadati
36614,2053589,Bacteria incertae sedis
36615,2053613,Bacteria incertae sedis
36616,2053613,Bacteria incertae sedis
36617,1977087,Pseudomonadati
36618,1977087,Pseudomonadati
36619,239,Pseudomonadati
36620,1913988,Pseudomonadati
36621,2026757,Pseudomonadati
36622,2026757,Pseudomonadati
36623,2448054,Pseudomonadati
36624,2793154,Pseudomonadati
36626,59823,Pseudomonadati
36627,2030927,Pseudomonadati
36628,3083052,Pseudomonadati
36629,3083052,Pseudomonadati
36630,2030927,Pseudomonadati
36631,3083067,Bacillati
36632,3083084,Pseudomonadati
36633,3083045,Bacillati
36634,3083080,Bacillati
36635,3083118,Pseudomonadati
36636,3083116,Pseudomonadati
36637,1262966,Bacillati
36638,3083131,Bacillati
36639,2044939,Bacillati
36640,3083065,Pseudomonadati
36641,3083048,Bacillati
36642,3083078,Bacillati
36643,2030927,Pseudomonadati
36644,3083119,Pseudomonadati
36645,3083119,Pseudomonadati
36646,3083119,Pseudomonadati
36647,3083117,Bacillati
36648,3083068,Bacillati
36649,3083055,Pseudomonadati
36650,3083079,Bacillati
36651,1978231,Pseudomonadati
36652,3083114,Bacillati
36653,3083082,Pseudomonadati
36654,3083120,Pseudomonadati
36655,3083128,Pseudomonadati
36656,2030927,Pseudomonadati
36657,3083093,Thermotogati
36658,2030927,Pseudomonadati
36659,3083096,Pseudomonadati
36660,1879010,Bacillati
36661,3083135,Pseudomonadati
36662,3083129,Pseudomonadati
36663,3083058,Pseudomonadati
36664,3083081,Pseudomonadati
36665,3083062,Bacillati
36666,3083044,Pseudomonadati
36667,2748031,Pseudomonadati
36668,3083097,Pseudomonadati
36669,3083054,Pseudomonadati
36670,3083102,Pseudomonadati
36671,3083069,Bacillati
36672,3083057,Pseudomonadati
36673,3083130,Bacillati
36674,3083106,Bacillati
36675,3083063,Pseudomonadati
36676,3083073,Pseudomonadati
36677,3083073,Pseudomonadati
36679,3083070,Bacillati
36680,3083095,Bacillati
36681,2030927,Pseudomonadati
36682,3083059,Pseudomonadati
36683,3083136,Pseudomonadati
36684,3083050,Pseudomonadati
36685,3083051,Pseudomonadati
36686,1898207,Bacillati
36687,2030927,Pseudomonadati
36688,3083076,Pseudomonadati
36689,3083046,Bacillati
36690,2044939,Bacillati
36691,2030927,Pseudomonadati
36692,3083074,Pseudomonadati
36693,3083060,Pseudomonadati
36694,2748031,Pseudomonadati
36695,3083099,Pseudomonadati
36696,3083100,Pseudomonadati
36697,3083137,Pseudomonadati
36698,2024830,Pseudomonadati
36699,188908,Pseudomonadati
36700,1913989,Pseudomonadati
36701,1971902,Pseudomonadati
36702,1954480,Pseudomonadati
36703,2045417,Pseudomonadati
36704,1903071,Pseudomonadati
36705,1903071,Pseudomonadati
36706,1903071,Pseudomonadati
36707,1965321,Pseudomonadati
36708,1913989,Pseudomonadati
36709,2824874,Bacillati
36710,1898203,Bacillati
36711,1872444,Pseudomonadati
36712,166,Pseudomonadati
36713,2748031,Pseudomonadati
36715,2044939,Bacillati
36716,2498093,Pseudomonadati
36717,2044939,Bacillati
36718,2052179,Bacillati
36719,1898203,Bacillati
36720,1898203,Bacillati
36721,2044939,Bacillati
36722,1898203,Bacillati
36723,2030927,Pseudomonadati
36724,2044939,Bacillati
36725,1879010,Bacillati
36726,2044939,Bacillati
36727,2044939,Bacillati
36728,2485925,Bacillati
36729,41978,Bacillati
36730,1898203,Bacillati
36731,1879010,Bacillati
36732,2485925,Bacillati
36733,2485925,Bacillati
36734,2044939,Bacillati
36735,1926876,Bacillati
36736,2021391,Pseudomonadati
36737,2691551,Pseudomonadati
36738,2044939,Bacillati
36739,2044939,Bacillati
36740,2485925,Bacillati
36741,1898203,Bacillati
36742,2049044,Bacillati
36743,1898203,Bacillati
36744,1913989,Pseudomonadati
36745,1879010,Bacillati
36746,2478483,Bacillati
36747,1955243,Bacillati
36748,1955243,Bacillati
36749,2044939,Bacillati
36750,2049044,Bacillati
36751,1898203,Bacillati
36752,2049044,Bacillati
36753,2049035,Bacillati
36754,1898203,Bacillati
36755,2044939,Bacillati
36756,2691551,Pseudomonadati
36757,41978,Bacillati
36758,2049044,Bacillati
36759,1872397,Bacillati
36760,41978,Bacillati
36761,41978,Bacillati
36762,2485925,Bacillati
36763,2485925,Bacillati
36764,2485925,Bacillati
36765,2044939,Bacillati
36766,1879010,Bacillati
36767,2044939,Bacillati
36768,2485925,Bacillati
36769,2049044,Bacillati
36770,1879010,Bacillati
36771,1879010,Bacillati
36772,1879010,Bacillati
36773,1898203,Bacillati
36774,142586,Bacillati
36775,2044939,Bacillati
36776,2044939,Bacillati
36777,1879010,Bacillati
36778,2485925,Bacillati
36779,1898203,Bacillati
36780,2485925,Bacillati
36781,2485925,Bacillati
36782,2030927,Pseudomonadati
36783,2485925,Bacillati
36784,2044939,Bacillati
36785,2044939,Bacillati
36786,2044939,Bacillati
36787,1898203,Bacillati
36788,1879010,Bacillati
36789,885,Pseudomonadati
36790,1898203,Bacillati
36791,1898203,Bacillati
36792,2053620,Pseudomonadati
36793,2053620,Pseudomonadati
36794,2044939,Bacillati
36795,1914289,Bacillati
36796,2478480,Bacillati
36797,2044939,Bacillati
36798,2691551,Pseudomonadati
36799,2053611,Bacillati
36800,2060878,Bacillati
36801,1879010,Bacillati
36802,1898203,Bacillati
36803,1955243,Bacillati
36804,1955243,Bacillati
36805,2478483,Bacillati
36806,2652289,Bacillati
36807,2044939,Bacillati
36808,2044939,Bacillati
36809,41978,Bacillati
36810,2044939,Bacillati
36811,2049044,Bacillati
36812,1879010,Bacillati
36813,1898203,Bacillati
36814,2049044,Bacillati
36815,2049044,Bacillati
36816,885,Pseudomonadati
36817,2044939,Bacillati
36818,1898203,Bacillati
36819,2044939,Bacillati
36820,2044939,Bacillati
36821,2049044,Bacillati
36822,1879010,Bacillati
36823,1879010,Bacillati
36824,59823,Pseudomonadati
36825,2498093,Pseudomonadati
36826,59823,Pseudomonadati
36827,1898203,Bacillati
36828,41978,Bacillati
36829,41978,Bacillati
36830,2485925,Bacillati
36831,2030927,Pseudomonadati
36832,1898203,Bacillati
36833,2053611,Bacillati
36834,2030927,Pseudomonadati
36835,2053611,Bacillati
36836,2030927,Pseudomonadati
36837,2049044,Bacillati
36838,59823,Pseudomonadati
36839,2044939,Bacillati
36840,2212467,Pseudomonadati
36841,2030927,Pseudomonadati
36842,2485925,Bacillati
36843,2748031,Pseudomonadati
36844,2030927,Pseudomonadati
36845,2044939,Bacillati
36846,2044939,Bacillati
36847,2030927,Pseudomonadati
36848,2485925,Bacillati
36849,2485925,Bacillati
36850,2212467,Pseudomonadati
36851,2044939,Bacillati
36852,41978,Bacillati
36853,41978,Bacillati
36854,1898203,Bacillati
36855,2030927,Pseudomonadati
36856,2030927,Pseudomonadati
36857,2485925,Bacillati
36858,2044939,Bacillati
36859,2044939,Bacillati
36860,2044939,Bacillati
36861,1879010,Bacillati
36862,2030927,Pseudomonadati
36863,2485925,Bacillati
36864,1898203,Bacillati
36865,2498093,Pseudomonadati
36866,1898203,Bacillati
36867,2748031,Pseudomonadati
36868,59823,Pseudomonadati
36869,1872589,Pseudomonadati
36870,2485925,Bacillati
36871,2044939,Bacillati
36872,2049042,Bacillati
36873,2049042,Bacillati
36874,59823,Pseudomonadati
36875,59823,Pseudomonadati
36876,2774292,Bacillati
36877,41978,Bacillati
36878,1903720,Bacillati
36879,41978,Bacillati
36880,2212467,Pseudomonadati
36881,2044939,Bacillati
36882,1898203,Bacillati
36883,2049044,Bacillati
36884,59823,Pseudomonadati
36885,2485925,Bacillati
36886,2485926,Bacillati
36887,2030927,Pseudomonadati
36888,1898203,Bacillati
36889,885,Pseudomonadati
36890,2044939,Bacillati
36891,1898203,Bacillati
36892,1898203,Bacillati
36893,2026779,Pseudomonadati
36894,2748031,Pseudomonadati
36895,2748031,Pseudomonadati
36896,2044939,Bacillati
36897,2748031,Pseudomonadati
36898,2748031,Pseudomonadati
36899,2053611,Bacillati
36900,1879010,Bacillati
36901,2053611,Bacillati
36902,2044939,Bacillati
36903,1879010,Bacillati
36904,2652289,Bacillati
36905,55507,Bacillati
36906,2053611,Bacillati
36907,1977087,Pseudomonadati
36908,2044939,Bacillati
36909,2044939,Bacillati
36910,2030927,Pseudomonadati
36911,1872532,Bacillati
36912,2044939,Bacillati
36913,166,Pseudomonadati
36914,2044939,Bacillati
36915,1879010,Bacillati
36916,1872421,Pseudomonadati
36917,2044939,Bacillati
36918,2044939,Bacillati
36919,2021391,Pseudomonadati
36920,2748031,Pseudomonadati
36921,2049036,Pseudomonadati
36922,2044939,Bacillati
36923,1872444,Pseudomonadati
36924,1872444,Pseudomonadati
36925,2044939,Bacillati
36926,2044939,Bacillati
36927,2044939,Bacillati
36928,2498093,Pseudomonadati
36929,2044939,Bacillati
36930,2049048,Pseudomonadati
36931,2044939,Bacillati
36932,1898203,Bacillati
36933,2044939,Bacillati
36934,2026792,Pseudomonadati
36935,2044939,Bacillati
36936,1872444,Pseudomonadati
36937,2044939,Bacillati
36938,1898203,Bacillati
36939,2748031,Pseudomonadati
36940,1898203,Bacillati
36941,2052179,Bacillati
36942,2052179,Bacillati
36943,2047426,Bacillati
36944,2026792,Pseudomonadati
36945,2212467,Pseudomonadati
36946,1879010,Bacillati
36947,2485925,Bacillati
36948,2485925,Bacillati
36949,2485925,Bacillati
36950,166,Pseudomonadati
